City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,salinopolis,-0.6136,-47.3561,24.91,89,62,5.11,BR,1674438696
161,saint anthony,45.0205,-93.218,-7.03,91,100,3.09,US,1674438696
162,sobinka,55.9855,40.0111,-16.68,100,95,1.45,RU,1674438696
163,kurilsk,45.2333,147.8833,-7.82,69,100,6.38,RU,1674438697
164,laguna,38.421,-121.4238,12.1,45,0,9.77,US,1674438697
165,ribeira grande,38.5167,-28.7,16.54,84,2,10.28,PT,1674438697
166,banyo,6.75,11.8167,18.9,28,87,1.48,CM,1674438698
167,shubarshi,48.5872,57.1869,-11.8,70,0,3.2,KZ,1674438698
168,moose jaw,50.4001,-105.5344,1.14,86,100,8.75,CA,1674438698
169,norman wells,65.282,-126.8329,-24.98,84,40,1.03,CA,1674438698
170,andenes,69.3143,16.1194,4.96,75,100,7.72,NO,1674438698
171,bathsheba,13.2167,-59.5167,26.34,78,40,10.29,BB,1674438699
172,gulfport,30.3674,-89.0928,9.03,93,0,0.0,US,1674438699
173,bundaberg,-24.85,152.35,30.68,58,20,0.89,AU,1674438548
174,la ronge,55.1001,-105.2842,-2.86,74,100,7.2,CA,1674438699
175,kutum,14.2,24.6667,13.89,17,0,1.9,SD,1674438699
176,ilulissat,69.2167,-51.1,-11.56,96,100,1.6,GL,1674438700
177,taoudenni,22.6783,-3.9836,15.56,20,0,4.29,ML,1674438700
178,cabo san lucas,22.8909,-109.9124,20.61,77,40,2.06,MX,1674438701
179,kidal,18.4411,1.4078,20.44,15,0,3.37,ML,1674438428
180,san ramon,37.7799,-121.978,13.12,36,0,6.17,US,1674438701
181,tonota,-21.4833,27.4833,22.66,52,100,3.27,BW,1674438436
182,boras,57.721,12.9401,-4.69,100,85,1.07,SE,1674438702
183,haines junction,60.7522,-137.5108,-8.02,97,98,1.7,CA,1674438702
184,faya,18.3851,42.4509,9.06,68,0,0.76,SA,1674438702
185,saint-francois,46.4154,3.9054,-0.18,86,100,4.63,FR,1674438702
186,englehart,47.8169,-79.8664,-1.99,80,100,1.54,CA,1674438702
187,longyearbyen,78.2186,15.6401,2.91,81,75,6.69,SJ,1674438544
188,abu dhabi,24.4667,54.3667,17.01,72,0,2.06,AE,1674438410
189,taltal,-25.4,-70.4833,19.87,83,5,1.14,CL,1674438703
190,catemaco,18.4167,-95.1167,20.41,95,55,2.09,MX,1674438703
191,pesqueira,-8.3578,-36.6964,21.31,90,89,3.61,BR,1674438703
192,phan thiet,10.9333,108.1,28.44,60,11,1.71,VN,1674438604
193,souillac,-20.5167,57.5167,25.21,94,75,1.03,MU,1674438704
194,enshi,30.3,109.4833,6.65,78,99,0.7,CN,1674438704
195,boke,10.9409,-14.2967,19.15,84,0,0.97,GN,1674438417
196,martapura,-3.4167,114.85,26.05,89,20,1.54,ID,1674438705
197,petrokhorion,41.1167,24.8333,12.74,86,92,2.28,GR,1674438705
198,chokurdakh,70.6333,147.9167,-44.11,100,66,1.73,RU,1674438705
199,catumbela,-12.4314,13.5472,25.29,79,100,2.08,AO,1674438705
200,avarua,-21.2078,-159.775,26.03,89,75,1.03,CK,1674438707
201,kaitangata,-46.2817,169.8464,17.48,43,13,5.1,NZ,1674438707
202,nampula,-15.1165,39.2666,21.97,94,75,2.06,MZ,1674438707
203,siirt,37.9326,41.9403,4.14,57,0,1.13,TR,1674438708
204,grand bank,47.0999,-55.765,-2.0,77,6,6.07,CA,1674438708
205,aviles,43.5547,-5.9248,4.4,89,0,2.57,ES,1674438708
206,pacific grove,36.6177,-121.9166,13.82,73,0,11.62,US,1674438708
207,tall kayf,37.0833,41.0667,7.31,49,0,1.11,TR,1674438709
208,manokwari,-0.8667,134.0833,25.15,88,100,1.59,ID,1674438709
209,tarko-sale,64.9225,77.785,-19.53,98,100,4.33,RU,1674438709
210,malakal,9.5334,31.6605,23.46,17,89,3.45,SS,1674438709
211,shenjiamen,29.9576,122.298,9.38,94,100,6.06,CN,1674438710
212,bara,10.3744,10.7288,20.66,20,28,3.12,NG,1674438710
213,berlevag,70.8578,29.0864,4.0,59,88,19.03,NO,1674438710
214,padang,-0.9492,100.3543,24.03,89,100,1.34,ID,1674438353
215,kulykivka,51.3735,31.6466,-1.33,82,41,3.18,UA,1674438711
216,mahebourg,-20.4081,57.7,25.16,94,75,1.03,MU,1674438712
217,ketchikan,55.3422,-131.6461,3.99,93,100,6.17,US,1674438712
218,washougal,45.5826,-122.3534,7.49,86,100,1.34,US,1674438712
219,cabedelo,-6.9811,-34.8339,26.37,81,12,4.72,BR,1674438713
220,ippy,6.2679,21.2247,23.31,23,82,1.82,CF,1674438415
221,samarai,-10.6167,150.6667,29.41,70,80,6.16,PG,1674438714
222,purwokerto,-7.4214,109.2344,27.96,77,97,1.49,ID,1674438178
223,mogwase,-25.185,27.2665,18.92,38,3,2.33,ZA,1674438714
224,lasa,46.6166,10.7002,-2.02,73,98,1.62,IT,1674438714
225,goba,7.0167,39.9833,8.06,73,85,1.69,ET,1674438715
226,victoria,22.2855,114.1577,20.58,85,11,1.79,HK,1674438670
227,agadir,30.4202,-9.5982,8.25,60,0,2.58,MA,1674438715
228,gorontalo,0.5412,123.0595,28.36,75,100,1.48,ID,1674438536
229,jiayuguan,39.8167,98.3,-17.34,56,10,2.64,CN,1674438463
230,new norfolk,-42.7826,147.0587,25.4,31,1,1.28,AU,1674438716
231,bambous virieux,-20.3428,57.7575,25.14,94,75,1.03,MU,1674438716
232,touros,-5.1989,-35.4608,26.43,79,10,4.88,BR,1674438717
233,hithadhoo,-0.6,73.0833,26.9,76,45,2.91,MV,1674438717
234,silver city,32.7701,-108.2803,3.7,41,0,3.09,US,1674438718
235,asau,46.4333,26.4,2.51,96,93,0.87,RO,1674438718
236,las palmas,28.4204,-14.0131,16.44,77,75,7.72,ES,1674438719
237,tabalosos,-6.35,-76.6833,21.11,90,12,1.7,PE,1674438719
238,akureyri,65.6835,-18.0878,-2.04,50,20,3.09,IS,1674438719
239,taybad,34.74,60.7756,-4.46,61,0,1.99,IR,1674438719
240,auburndale,28.0653,-81.7887,22.97,83,20,4.63,US,1674438720
241,vila velha,-20.3297,-40.2925,24.97,94,75,1.03,BR,1674438720
242,takoradi,4.8845,-1.7554,26.36,85,32,3.01,GH,1674438600
243,kitimat,54.0524,-128.6534,1.21,30,100,1.31,CA,1674438721
244,auki,-8.7676,160.7034,29.69,67,83,0.89,SB,1674438721
245,fairbanks,64.8378,-147.7164,-27.02,73,100,0.0,US,1674438723
246,tessalit,20.1986,1.0114,17.53,15,0,4.25,ML,1674438723
247,sfantu gheorghe,45.8667,25.7833,5.15,89,10,2.28,RO,1674438724
248,altus,34.6381,-99.334,6.73,47,0,4.12,US,1674438724
249,mountain home,43.133,-115.6912,-3.29,93,0,8.75,US,1674438724
250,erzin,36.9559,36.2,10.49,62,0,2.51,TR,1674438724
251,huilong,31.8111,121.655,7.74,87,100,6.39,CN,1674438725
252,umba,66.6871,34.3429,-4.55,79,24,5.93,RU,1674438725
253,shache,38.4167,77.2406,-13.76,92,79,3.08,CN,1674438725
254,horsham,51.064,-0.3272,0.91,91,8,0.51,GB,1674438726
255,lubao,14.9167,120.55,28.04,65,19,4.48,PH,1674438726
256,dikson,73.5069,80.5464,-23.32,91,99,11.26,RU,1674438726
257,ariogala,55.2667,23.4667,-2.66,93,9,2.65,LT,1674438727
258,niamey,13.5137,2.1098,23.16,21,0,0.0,NE,1674438727
259,cayenne,4.9333,-52.3333,26.02,78,75,3.6,GF,1674438728
260,road town,18.4167,-64.6167,26.02,69,40,4.63,VG,1674438728
261,bad waldsee,47.9167,9.7667,-1.68,87,77,3.23,DE,1674438728
262,araouane,18.9048,-3.5265,17.96,14,0,4.7,ML,1674438729
263,bitung,1.4451,125.1824,26.47,68,100,1.9,ID,1674438729
264,thompson,55.7435,-97.8558,-9.91,92,100,6.69,CA,1674438730
265,hami,42.8,93.45,-13.09,32,0,4.49,CN,1674438730
266,katsuura,35.1333,140.3,7.75,89,100,7.55,JP,1674438730
267,novaya bryan,51.7159,108.2691,-34.72,90,23,1.06,RU,1674438731
268,mejorada del campo,40.3928,-3.4819,2.07,64,0,2.57,ES,1674438731
269,kontagora,10.3999,5.4695,23.25,19,42,2.09,NG,1674438533
270,dullewala,31.8359,71.4362,8.06,62,0,3.43,PK,1674438732
271,santarem,-2.4431,-54.7083,27.07,83,20,3.6,BR,1674438732
272,gaogou,34.0175,119.1886,5.82,68,98,3.21,CN,1674438732
273,praia da vitoria,38.7333,-27.0667,15.98,72,75,6.7,PT,1674438732
274,bandarbeyla,9.4942,50.8122,22.98,73,55,6.42,SO,1674438733
275,rozivka,46.9385,35.7724,-0.21,82,100,5.35,UA,1674438733
276,orlik,52.5178,99.825,-41.19,90,26,0.92,RU,1674438733
277,yar-sale,66.8333,70.8333,-7.77,95,100,4.17,RU,1674438733
278,mozhaysk,55.5019,36.0272,-5.43,98,25,1.09,RU,1674438734
279,esperance,-33.8667,121.9,24.58,46,0,4.07,AU,1674438734
280,verkhoyansk,67.5447,133.385,-47.97,100,98,0.52,RU,1674438735
281,yeppoon,-23.1333,150.7333,29.88,62,45,4.36,AU,1674438735
282,dasoguz,41.8363,59.9666,-10.03,73,0,4.12,TM,1674438735
283,severo-kurilsk,50.6789,156.125,-8.01,58,98,1.74,RU,1674438736
284,omsukchan,62.5333,155.8,-32.54,97,100,2.97,RU,1674438736
285,mindelo,16.8901,-24.9804,20.75,56,40,6.69,CV,1674438736
286,grass valley,39.2191,-121.0611,7.35,46,0,2.24,US,1674438736
287,wuwei,37.9281,102.6414,-13.27,61,100,4.0,CN,1674438737
288,lavrentiya,65.5833,-171.0,-28.77,94,70,5.37,RU,1674438737
289,gravdal,68.1214,13.5031,5.23,80,70,15.26,NO,1674438737
290,rock sound,24.9,-76.2,24.9,82,56,6.63,BS,1674438738
291,tasiilaq,65.6145,-37.6368,-15.5,59,11,3.17,GL,1674438738
292,inhambane,-23.865,35.3833,26.82,73,87,5.3,MZ,1674438738
293,saskylakh,71.9167,114.0833,-32.49,87,100,1.04,RU,1674438738
294,liberal,37.0431,-100.921,-0.92,69,0,2.57,US,1674438739
295,husavik,66.0449,-17.3389,-5.0,62,20,5.12,IS,1674438739
296,lishan,31.8576,113.2951,7.6,60,95,4.06,CN,1674438739
297,ahuimanu,21.4447,-157.8378,27.84,72,18,1.34,US,1674438739
298,dovolnoye,54.4958,79.6671,-9.66,94,100,6.52,RU,1674438740
299,shingu,33.7333,135.9833,8.62,77,98,2.0,JP,1674438645
300,aasiaat,68.7098,-52.8699,-13.66,96,100,1.23,GL,1674438740
301,provideniya,64.3833,-173.3,-18.94,60,75,13.0,RU,1674438740
302,tevriz,57.509,72.4042,-6.95,93,100,3.81,RU,1674438741
303,capim grosso,-11.3811,-40.0128,23.31,80,100,2.16,BR,1674438741
304,alofi,-19.0595,-169.9187,30.94,66,12,5.14,NU,1674438741
305,khanpur,28.6453,70.6567,9.61,48,0,4.43,PK,1674438741
306,nouakchott,18.0858,-15.9785,15.96,38,0,4.75,MR,1674438741
307,kerouane,9.2667,-9.0167,24.76,48,1,1.77,GN,1674438742
308,portland,45.5234,-122.6762,7.57,84,100,0.89,US,1674438742
309,pujehun,7.3581,-11.7208,22.65,87,21,0.78,SL,1674438743
310,thunder bay,48.4001,-89.3168,-7.01,86,0,2.06,CA,1674438743
311,leh,34.1667,77.5833,-20.78,55,66,0.99,IN,1674438743
312,carnarvon,-24.8667,113.6333,26.39,65,69,6.91,AU,1674438744
313,solnechnyy,50.7214,136.6319,-28.21,94,95,1.97,RU,1674438744
314,acapulco,16.8634,-99.8901,24.17,78,0,2.72,MX,1674438745
315,juruti,-2.1522,-56.0922,23.53,93,86,0.73,BR,1674438746
316,puno,-15.8333,-70.0333,7.96,72,55,0.63,PE,1674438746
317,los llanos de aridane,28.6585,-17.9182,16.86,80,100,9.26,ES,1674438747
318,sitka,57.0531,-135.33,3.94,81,100,10.29,US,1674438747
